ID,Assessment short name,Assessment full name,Body short name,Body full name
es_age_1122,CGACE,Cuerpo de Gestión de la Administración Civil del Estado de España,AGE,Administración General del Estado de España
es_age_1166,CSSTIAE,Cuerpo Superior de de España,AGE,Administración General del Estado de España
es_age_1177,CGSIAE,Cuerpo de Gestión de Informática,AGE,Administración General del Estado de España
